,Park Name,Budget Request(dollars in thousands),Year
169,Hot Springs NP,4897,2011
174,Isle Royale NP,4936,2011
185,Joshua Tree NP,6342,2011
188,"Katmai NP&Pres, Aniakchak NM&Pres, & Alagnak",3906,2011
189,Kenai Fjords NP,3979,2011
196,Lake Clark NP & Preserve,3450,2011
201,Lassen Volcanic NP,5452,2011
214,Mammoth Cave NP,6708,2011
228,Mesa Verde NP,6908,2011
234,Mojave NPres,5094,2011
239,Mount Rainier NP,12257,2011
260,"North Cascades NP, Lake Chelan NRA, Ross Lake",8378,2011
263,Olympic NP,12796,2011
273,Petrified Forest NP,3666,2011
288,Redwood NP,9653,2011
292,Rocky Mountain NP,13357,2011
297,Saguaro NP,3905,2011
313,Sequoia NP & Kings Canyon NP,17017,2011
314,Shenandoah NP,13032,2011
322,Tallgrass Prairie NPres,1080,2011
326,Theodore Roosevelt NP,3008,2011
341,Virgin Islands NP,5103,2011
342,Voyageurs NP,4371,2011
349,"Cape Krusenstern NM, Kobuk Valley NP",3920,2011
355,Wind Cave NP,2787,2011
356,Wolf Trap NP,4182,2011
359,Wrangell-Saint Elias NP & Preserve,5374,2011
360,Yellowstone NP,36516,2011
361,Yosemite NP,29961,2011
364,Zion NP,8214,2011
1,Acadia NP,8017,2012
13,Arches NP,1943,2012
18,Badlands NP,4397,2012
22,Big Bend NP,7242,2012
23,Big Cypress NPres,7292,2012
26,Big Thicket NPres,3031,2012
28,Biscayne NP,4556,2012
29,Black Canyon of the Gunnison NP,1669,2012
37,Bryce Canyon NP,3461,2012
43,Canyonlands NP,6890,2012
48,Capitol Reef NP,2850,2012
51,Carlsbad Caverns NP,6152,2012
60,Channel Islands NP,7753,2012
72,Congaree NP,1901,2012
75,Crater Lake NP,5417,2012
80,Cuyahoga Valley NP,11627,2012
83,Death Valley NP,8880,2012
85,Denali NP&Pres,14357,2012
89,Dry Tortugas NP,1764,2012
98,Everglades NP,17803,2012
129,Gates of the Arctic NP&Pres,3204,2012
138,Glacier Bay NP&Pres,4803,2012
139,Glacier NP,14124,2012
145,Grand Canyon NP,23089,2012
147,Grand Teton NP,13629,2012
149,Great Basin NP,2814,2012
150,Great Sand Dunes NP&Pres,2946,2012
151,Great Smoky Mountains NP,19500,2012
153,Guadalupe Mountains NP,2955,2012
157,Haleakala NP,5423,2012
161,Hawaii Volcanoes NP,6940,2012
168,Hot Springs NP,4849,2012
173,Isle Royale NP,4794,2012
184,Joshua Tree NP,6275,2012
187,"Katmai NP&Pres, Aniakchak NM&Pres & Alagnak WR",3925,2012
188,Kenai Fjords NP,3986,2012
195,Lake Clark NP&Pres,3458,2012
200,Lassen Volcanic NP,5396,2012
206,Little River Canyon NPres,1454,2012
212,Mammoth Cave NP,6408,2012
226,Mesa Verde NP,6838,2012
232,Mojave NPres,5040,2012
237,Mount Rainier NP,12128,2012
257,"North Cascades NP, Lake Chelan NRA, Ross Lake NRA",8298,2012
260,Olympic NP,12829,2012
271,Petrified Forest NP,3628,2012
286,Redwood NP,9564,2012
291,Rocky Mountain NP & Cache La Poudre,13218,2012
297,Saguaro NP,3864,2012
313,Sequoia NP & Kings Canyon NP,16838,2012
314,Shenandoah NP,12747,2012
323,Tallgrass Prairie NPres,1559,2012
327,Theodore Roosevelt NP & International Peace Garden,2918,2012
345,Virgin Islands NP,5126,2012
346,Voyageurs NP,4295,2012
351,"NPres, Cape Krusenstern NM, Kobuk Valley NP",3802,2012
358,Wind Cave NP,2656,2012
359,Wolf Trap NP,4137,2012
362,Wrangell-Saint Elias NP&Pres,5534,2012
363,Yellowstone NP,36141,2012
364,Yosemite NP,29653,2012
366,Yukon-Charley Rivers NPres,2123,2012
367,Zion NP,8132,2012
1,Acadia NP,7937,2013
13,Arches NP,1935,2013
18,Badlands NP,4377,2013
22,Big Bend NP,7057,2013
23,Big Cypress NPres,6734,2013
26,Big Thicket NPres,2608,2013
28,Biscayne NP,4297,2013
29,Black Canyon of the Gunnison NP,1663,2013
37,Bryce Canyon NP,3303,2013
43,Canyonlands NP,6331,2013
48,Capitol Reef NP,2270,2013
51,Carlsbad Caverns NP,5822,2013
60,Channel Islands NP,7609,2013
72,Congaree NP,1894,2013
75,Crater Lake NP,5365,2013
80,Cuyahoga Valley NP,10970,2013
83,Death Valley NP,8848,2013
85,Denali NP&Pres,13986,2013
89,Dry Tortugas NP,1741,2013
98,Everglades NP,17111,2013
130,Gates of the Arctic NP&Pres,2883,2013
139,Glacier Bay NP&Pres,4909,2013
140,Glacier NP,13868,2013
146,Grand Canyon NP,21554,2013
148,Grand Teton NP,12745,2013
150,Great Basin NP,2783,2013
151,Great Sand Dunes NP&Pres,2305,2013
152,Great Smoky Mountains NP,19218,2013
154,Guadalupe Mountains NP,2939,2013
158,Haleakala NP,5422,2013
162,Hawaii Volcanoes NP,7429,2013
169,Hot Springs NP,4645,2013
174,Isle Royale NP,4389,2013
185,Joshua Tree NP,6203,2013
188,"Katmai NP&Pres, Aniakchak NM&Pres & Alagnak WR",3998,2013
189,Kenai Fjords NP,3840,2013
196,Lake Clark NP&Pres,3378,2013
201,Lassen Volcanic NP,5342,2013
207,Little River Canyon NPres,1453,2013
213,Mammoth Cave NP,6441,2013
227,Mesa Verde NP,6536,2013
233,Mojave NPres,4999,2013
238,Mount Rainier NP,12278,2013
260,"North Cascades NP, Lake Chelan NRA, Ross Lake NRA",7436,2013
263,Olympic NP,12998,2013
274,Petrified Forest NP,3477,2013
289,Redwood NP,8988,2013
294,Rocky Mountain NP & Cache La Poudre,12681,2013
300,Saguaro NP,3656,2013
316,Sequoia NP & Kings Canyon NP,16679,2013
317,Shenandoah NP,12663,2013
326,Tallgrass Prairie NPres,976,2013
330,Theodore Roosevelt NP & International Peace Garden,2906,2013
349,Virgin Islands NP,5009,2013
350,Voyageurs NP,4283,2013
355,"NPres, Cape Krusenstern NM, Kobuk Valley NP",3729,2013
362,Wind Cave NP,2648,2013
363,Wolf Trap NP,4118,2013
366,Wrangell-Saint Elias NP&Pres,5509,2013
367,Yellowstone NP,35590,2013
368,Yosemite NP,29270,2013
370,Yukon-Charley Rivers NPres,1913,2013
371,Zion NP,7776,2013
1,Acadia NP,7920,2014
13,Arches NP,1922,2014
17,Badlands NP,4383,2014
20,Big Bend NP,6992,2014
21,Big Cypress NPres,6685,2014
24,Big Thicket NPres,2579,2014
26,Biscayne NP,4265,2014
27,Black Canyon of the Gunnison NP,1768,2014
35,Bryce Canyon NP,3271,2014
41,Canyonlands NP,6281,2014
46,Capitol Reef NP,2251,2014
49,Carlsbad Caverns NP,5849,2014
58,Channel Islands NP,7548,2014
70,Congaree NP,1878,2014
73,Crater Lake NP,5321,2014
78,Cuyahoga Valley NP,10885,2014
81,Death Valley NP,8775,2014
83,Denali NP&Pres,13876,2014
87,Dry Tortugas NP,1726,2014
96,Everglades NP,17020,2014
126,Gates of the Arctic NP&Pres,3034,2014
135,Glacier Bay NP&Pres,4869,2014
136,Glacier NP,13808,2014
141,Grand Canyon NP,21385,2014
143,Grand Teton NP,12684,2014
145,Great Basin NP,2812,2014
146,Great Sand Dunes NP&Pres,2285,2014
147,Great Smoky Mountains NP,19052,2014
148,Guadalupe Mountains NP,2911,2014
152,Haleakala NP,5380,2014
157,Hawaii Volcanoes NP,7375,2014
164,Hot Springs NP,4608,2014
169,Isle Royale NP,4350,2014
180,Joshua Tree NP,6150,2014
183,"Katmai NP&Pres, Aniakchak NM&Pres & Alagnak WR",3965,2014
184,Kenai Fjords NP,3807,2014
191,Lake Clark NP&Pres,3347,2014
196,Lassen Volcanic NP,5297,2014
202,Little River Canyon NPres,1441,2014
208,Mammoth Cave NP,6487,2014
221,Mesa Verde NP,6479,2014
227,Mojave NPres,4957,2014
232,Mount Rainier NP,12179,2014
253,"North Cascades NP, Lake Chelan NRA, Ross Lake NRA",7366,2014
256,Olympic NP,12893,2014
267,Petrified Forest NP,3451,2014
270,Pinnacles NP,3479,2014
280,Redwood NP,8917,2014
285,Rocky Mountain NP & Cache La Poudre,12577,2014
291,Saguaro NP,3628,2014
307,Sequoia NP & Kings Canyon NP,16606,2014
308,Shenandoah NP,12554,2014
317,Tallgrass Prairie NPres,1007,2014
320,Theodore Roosevelt NP & International Peace Garden,2924,2014
338,Virgin Islands NP,4969,2014
339,Voyageurs NP,4249,2014
344,"NPres, Cape Krusenstern NM, Kobuk Valley NP",3693,2014
351,Wind Cave NP,2717,2014
352,Wolf Trap NP,4087,2014
355,Wrangell-Saint Elias NP&Pres,5463,2014
356,Yellowstone NP,35257,2014
357,Yosemite NP,30799,2014
359,Yukon-Charley Rivers NPres,1898,2014
360,Zion NP,7707,2014
1,Acadia NP,8038,2015
13,Arches NP,1914,2015
17,Badlands NP,4328,2015
20,Big Bend NP,7019,2015
21,Big Cypress NPres,6660,2015
24,Big Thicket NPres,2606,2015
26,Biscayne NP,4245,2015
27,Black Canyon of the Gunnison NP,1765,2015
35,Bryce Canyon NP,3255,2015
41,Canyonlands NP,6253,2015
45,Capitol Reef NP,2292,2015
48,Carlsbad Caverns NP,5811,2015
57,Channel Islands NP,7295,2015
69,Congaree NP,1874,2015
72,Crater Lake NP,5308,2015
77,Cuyahoga Valley NP,10850,2015
80,Death Valley NP,8751,2015
82,Denali NP&Pres,13847,2015
86,Dry Tortugas NP,1892,2015
95,Everglades NP,16771,2015
124,Gates of the Arctic NP&Pres,3031,2015
134,Glacier Bay NP&Pres,4848,2015
135,Glacier NP,13429,2015
141,Grand Canyon NP,21406,2015
143,Grand Teton NP,12369,2015
145,Great Basin NP,2801,2015
146,Great Sand Dunes NP&Pres,2280,2015
147,Great Smoky Mountains NP,19155,2015
148,Guadalupe Mountains NP,2908,2015
152,Haleakala NP,5360,2015
157,Hawaii Volcanoes NP,7346,2015
164,Hot Springs NP,4588,2015
169,Isle Royale NP,4335,2015
180,Joshua Tree NP,6131,2015
183,"Katmai NP&Pres, Aniakchak NM&Pres & Alagnak WR",3955,2015
184,Kenai Fjords NP,3801,2015
191,Lake Clark NP&Pres,3344,2015
196,Lassen Volcanic NP,5283,2015
202,Little River Canyon NPres,1435,2015
208,Mammoth Cave NP,6463,2015
221,Mesa Verde NP,6521,2015
227,Mojave NPres,4941,2015
232,Mount Rainier NP,12345,2015
251,"North Cascades NP, Lake Chelan NRA, Ross Lake NRA",7349,2015
254,Olympic NP,12848,2015
265,Petrified Forest NP,3440,2015
279,Redwood NP,3184,2015
284,Rocky Mountain NP,659,2015
290,Saguaro NP,228,2015
305,Sequoia NP & Kings Canyon NP,16545,2015
306,Shenandoah NP,12070,2015
316,Tallgrass Prairie NPres,965,2015
319,Theodore Roosevelt NP & International Peace Garden,2873,2015
333,Virgin Islands NP,4946,2015
334,Voyageurs NP,4391,2015
338,"Western Arctic National Parklands - Bering Land Bridge NPres,Noatak NPres, Cape Krusenstern NM, Kobuk Valley NP",3695,2015
345,Wind Cave NP,2667,2015
346,Wolf Trap NP,4073,2015
349,Wrangell-Saint Elias NP&Pres,5449,2015
350,Yellowstone NP,34643,2015
351,Yosemite NP,28810,2015
353,Yukon-Charley Rivers NPres,1746,2015
354,Zion NP,7639,2015
1,Acadia NP ,8044,2021
13,Arches NP ,1995,2021
17,Badlands NP ,4322,2021
20,Big Bend NP ,7066,2021
21,Big Cypress NPres ,6692,2021
24,Big Thicket NPres ,2566,2021
27,Biscayne NP ,4196,2021
28,Black Canyon of the Gunnison NP ,1852,2021
37,Bryce Canyon NP ,3397,2021
43,Canyonlands NP ,6215,2021
47,Capitol Reef NP ,2394,2021
50,Carlsbad Caverns NP ,5609,2021
60,Channel Islands NP ,7240,2021
72,Congaree NP ,1845,2021
74,Crater Lake NP ,5182,2021
79,Cuyahoga Valley NP ,10605,2021
82,Death Valley NP ,8886,2021
84,Denali NP&Pres ,14263,2021
88,Dry Tortugas NP ,2038,2021
97,Everglades NP ,16433,2021
127,Gates of the Arctic NP&Pres ,3072,2021
129,Gateway Arch NP ,9815,2021
137,Glacier Bay NP&Pres ,4950,2021
138,Glacier NP ,13870,2021
143,Grand Canyon NP ,21223,2021
148,Grand Teton NP ,12270,2021
150,Great Basin NP ,2657,2021
152,Great Sand Dunes NP&Pres ,2551,2021
153,Great Smoky Mountains NP ,19097,2021
154,Guadalupe Mountains NP ,2861,2021
158,Haleakala NP ,5425,2021
164,Hawaii Volcanoes NP ,7577,2021
172,Hot Springs NP ,4348,2021
175,Indiana Dunes NP ,8970,2021
177,Isle Royale NP ,4333,2021
187,Joshua Tree NP ,6243,2021
191,"Katmai NP&Pres, Aniakchak NM&Pres & Alagnak WR ",4191,2021
192,Kenai Fjords NP ,3959,2021
199,Lake Clark NP&Pres ,3405,2021
203,Lassen Volcanic NP ,5045,2021
210,Little River Canyon NPres ,1423,2021
216,Mammoth Cave NP ,6417,2021
225,Mesa Verde NP ,6339,2021
232,Mojave NPres ,5106,2021
237,Mount Rainier NP ,11813,2021
257,"North Cascades NP, Lake Chelan NRA, Ross Lake NRA ",7173,2021
260,Olympic NP ,12571,2021
284,Petrified Forest NP ,3500,2021
287,Pinnacles NP ,3542,2021
299,Redwood NP ,8699,2021
304,Rocky Mountain NP ,12635,2021
310,Saguaro NP ,3516,2021
326,Sequoia NP & Kings Canyon NP ,16229,2021
327,Shenandoah NP ,11941,2021
340,Tallgrass Prairie NPres ,1005,2021
344,Theodore Roosevelt NP & International Peace Garden ,3001,2021
355,Valles Caldera NPres ,4632,2021
360,Virgin Islands NP ,4892,2021
361,Voyageurs NP ,4263,2021
366,"West. Arctic Parklands - Bering Land Bridge NPres, Noatak NPres, Cape Krusenstern NM, Kobuk Valley NP ",3740,2021
368,White Sands NP ,1576,2021
374,Wind Cave NP ,2533,2021
375,Wolf Trap NP ,4112,2021
377,Wrangell-Saint Elias NP&Pres ,5646,2021
378,Yellowstone NP ,34585,2021
379,Yosemite NP ,28647,2021
381,Yukon-Charley Rivers NPres ,1773,2021
382,Zion NP ,7756,2021
383,Zion NP ,7756,2021
1,Acadia NP,8194,2017
13,Arches NP,1984,2017
17,Badlands NP,4448,2017
20,Big Bend NP,7314,2017
21,Big Cypress NPres,6901,2017
24,Big Thicket NPres,2658,2017
26,Biscayne NP,4313,2017
27,Black Canyon of the Gunnison NP,1917,2017
36,Bryce Canyon NP,3348,2017
42,Canyonlands NP,6368,2017
47,Capitol Reef NP,2414,2017
50,Carlsbad Caverns NP,5849,2017
59,Channel Islands NP,7522,2017
73,Congaree NP,1901,2017
76,Crater Lake NP,5489,2017
81,Cuyahoga Valley NP,11112,2017
84,Death Valley NP,8939,2017
86,Denali NP&Pres,14636,2017
90,Dry Tortugas NP,2097,2017
99,Everglades NP,16965,2017
129,Gates of the Arctic NP&Pres,3200,2017
139,Glacier Bay NP&Pres,5121,2017
140,Glacier NP,13911,2017
146,Grand Canyon NP,22017,2017
148,Grand Teton NP,12638,2017
150,Great Basin NP,2819,2017
152,Great Sand Dunes NP&Pres,2359,2017
153,Great Smoky Mountains NP,19543,2017
154,Guadalupe Mountains NP,2953,2017
158,Haleakala NP,5641,2017
163,Hawaii Volcanoes NP,7937,2017
171,Hot Springs NP,4681,2017
176,Isle Royale NP,4685,2017
187,Joshua Tree NP,6303,2017
190,"Katmai NP&Pres, Aniakchak NM&Pres & Alagnak WR",4356,2017
191,Kenai Fjords NP,4099,2017
198,Lake Clark NP&Pres,3517,2017
203,Lassen Volcanic NP,5419,2017
209,Little River Canyon NPres,1471,2017
215,Mammoth Cave NP,6633,2017
229,Mesa Verde NP,6643,2017
235,Mojave NPres,5378,2017
240,Mount Rainier NP,12840,2017
259,"North Cascades NP, Lake Chelan NRA, Ross Lake NRA",7612,2017
262,Olympic NP,13232,2017
273,Petrified Forest NP,3617,2017
287,Redwood NP,9133,2017
292,Rocky Mountain NP,12884,2017
298,Saguaro NP,3730,2017
313,Sequoia NP & Kings Canyon NP,17225,2017
314,Shenandoah NP,12364,2017
324,Tallgrass Prairie NPres,1024,2017
327,Theodore Roosevelt NP & International Peace Garden,3056,2017
339,Valles Caldera NPres,3376,2017
344,Virgin Islands NP,5096,2017
345,Voyageurs NP,4346,2017
351,"Noatak NPres, Cape Krusenstern NM, Kobuk Valley NP",3894,2017
358,Wind Cave NP,2723,2017
359,Wolf Trap NP,4290,2017
362,Wrangell-Saint Elias NP&Pres,5822,2017
363,Yellowstone NP,35623,2017
364,Yosemite NP,31174,2017
366,Yukon-Charley Rivers NPres,1835,2017
367,Zion NP,7794,2017
1,Acadia NP,7684,2018
13,Arches NP,1859,2018
17,Badlands NP,4166,2018
20,Big Bend NP,6850,2018
21,Big Cypress NPres,6460,2018
24,Big Thicket NPres,2489,2018
27,Biscayne NP,4055,2018
28,Black Canyon of the Gunnison NP,1795,2018
37,Bryce Canyon NP,3138,2018
43,Canyonlands NP,5972,2018
47,Capitol Reef NP,2263,2018
50,Carlsbad Caverns NP,5474,2018
60,Channel Islands NP,7106,2018
73,Congaree NP,1791,2018
76,Crater Lake NP,5141,2018
81,Cuyahoga Valley NP,10236,2018
84,Death Valley NP,8366,2018
86,Denali NP&Pres,13779,2018
90,Dry Tortugas NP,1977,2018
99,Everglades NP,15849,2018
129,Gates of the Arctic NP&Pres,2985,2018
139,Glacier Bay NP&Pres,4789,2018
140,Glacier NP,13029,2018
146,Grand Canyon NP,20361,2018
148,Grand Teton NP,11849,2018
150,Great Basin NP,2641,2018
152,Great Sand Dunes NP&Pres,2212,2018
153,Great Smoky Mountains NP,18301,2018
154,Guadalupe Mountains NP,2766,2018
158,Haleakala NP,5277,2018
163,Hawaii Volcanoes NP,7430,2018
171,Hot Springs NP,4384,2018
176,Isle Royale NP,4352,2018
187,Joshua Tree NP,5891,2018
191,"Katmai NP&Pres, Aniakchak NM&Pres & Alagnak WR",4070,2018
192,Kenai Fjords NP,3827,2018
199,Lake Clark NP&Pres,3288,2018
204,Lassen Volcanic NP,5076,2018
210,Little River Canyon NPres,1374,2018
216,Mammoth Cave NP,6226,2018
230,Mesa Verde NP,6153,2018
236,Mojave NPres,5024,2018
241,Mount Rainier NP,12003,2018
260,"North Cascades NP, Lake Chelan NRA, Ross Lake NRA",7111,2018
263,Olympic NP,12385,2018
274,Petrified Forest NP,3390,2018
289,Redwood NP,8563,2018
294,Rocky Mountain NP,12042,2018
300,Saguaro NP,3486,2018
315,Sequoia NP & Kings Canyon NP,16110,2018
316,Shenandoah NP,11593,2018
327,Tallgrass Prairie NPres,968,2018
330,Theodore Roosevelt NP & International Peace Garden,2781,2018
341,Valles Caldera NPres,3153,2018
346,Virgin Islands NP,4758,2018
347,Voyageurs NP,3971,2018
361,Wind Cave NP,2444,2018
362,Wolf Trap NP,3962,2018
365,Wrangell-Saint Elias NP&Pres,5447,2018
366,Yellowstone NP,33350,2018
367,Yosemite NP,29164,2018
369,Yukon-Charley Rivers NPres,1716,2018
370,Zion NP,7298,2018
1,Acadia NP,7312,2019
13,Arches NP,1765,2019
17,Badlands NP,3969,2019
20,Big Bend NP,6525,2019
21,Big Cypress NPres,6148,2019
24,Big Thicket NPres,2370,2019
27,Biscayne NP,3860,2019
28,Black Canyon of the Gunnison NP,1709,2019
37,Bryce Canyon NP,2984,2019
43,Canyonlands NP,5691,2019
47,Capitol Reef NP,2154,2019
50,Carlsbad Caverns NP,5220,2019
60,Channel Islands NP,6774,2019
73,Congaree NP,1703,2019
76,Crater Lake NP,4893,2019
81,Cuyahoga Valley NP,9753,2019
84,Death Valley NP,7969,2019
86,Denali NP&Pres,13138,2019
90,Dry Tortugas NP,1882,2019
99,Everglades NP,15088,2019
129,Gates of the Arctic NP&Pres,2862,2019
138,Glacier Bay NP&Pres,4561,2019
139,Glacier NP,12419,2019
144,Grand Canyon NP,19376,2019
146,Grand Teton NP,11271,2019
148,Great Basin NP,2513,2019
150,Great Sand Dunes NP&Pres,2103,2019
151,Great Smoky Mountains NP,17422,2019
152,Guadalupe Mountains NP,2636,2019
156,Haleakala NP,5031,2019
161,Hawaii Volcanoes NP,7078,2019
169,Hot Springs NP,4174,2019
174,Isle Royale NP,4015,2019
185,Joshua Tree NP,5615,2019
189,"Katmai NP&Pres, Aniakchak NM&Pres & Alagnak WR",3881,2019
190,Kenai Fjords NP,3654,2019
197,Lake Clark NP&Pres,3134,2019
202,Lassen Volcanic NP,4829,2019
208,Little River Canyon NPres,1306,2019
214,Mammoth Cave NP,5930,2019
222,Mesa Verde NP,5850,2019
228,Mojave NPres,4788,2019
233,Mount Rainier NP,11437,2019
252,"North Cascades NP, Lake Chelan NRA, Ross Lake NRA",6779,2019
255,Olympic NP,11786,2019
266,Petrified Forest NP,3229,2019
269,Pinnacles NP,3224,2019
281,Redwood NP,8147,2019
286,Rocky Mountain NP,11479,2019
292,Saguaro NP,3335,2019
307,Sequoia NP & Kings Canyon NP,15358,2019
308,Shenandoah NP,11033,2019
318,Tallgrass Prairie NPres,923,2019
321,Theodore Roosevelt NP & International Peace Garden,2821,2019
332,Valles Caldera NPres,3013,2019
337,Virgin Islands NP,4543,2019
338,Voyageurs NP,3782,2019
344,"NM, Kobuk Valley NP",3466,2019
351,Wind Cave NP,2330,2019
352,Wolf Trap NP,3787,2019
355,Wrangell-Saint Elias NP&Pres,5188,2019
356,Yellowstone NP,31738,2019
357,Yosemite NP,27781,2019
359,Yukon-Charley Rivers NPres,1626,2019
360,Zion NP,6949,2019
1,Acadia NP ,7920,2020
13,Arches NP ,1916,2020
17,Badlands NP ,4371,2020
20,Big Bend NP ,7076,2020
21,Big Cypress NPres ,6668,2020
24,Big Thicket NPres ,2574,2020
27,Biscayne NP ,4196,2020
28,Black Canyon of the Gunnison NP ,1854,2020
37,Bryce Canyon NP ,3234,2020
43,Canyonlands NP ,6167,2020
47,Capitol Reef NP ,2339,2020
50,Carlsbad Caverns NP ,5652,2020
60,Channel Islands NP ,7359,2020
72,Congaree NP ,1851,2020
74,Crater Lake NP ,5307,2020
79,Cuyahoga Valley NP ,10586,2020
82,Death Valley NP ,8639,2020
84,Denali NP&Pres ,14240,2020
88,Dry Tortugas NP ,2042,2020
97,Everglades NP ,16393,2020
127,Gates of the Arctic NP&Pres ,3096,2020
129,Gateway Arch NP ,9795,2020
137,Glacier Bay NP&Pres ,4950,2020
138,Glacier NP ,13453,2020
143,Grand Canyon NP ,20990,2020
145,Grand Teton NP ,12205,2020
147,Great Basin NP ,2725,2020
149,Great Sand Dunes NP&Pres ,2284,2020
150,Great Smoky Mountains NP ,18888,2020
151,Guadalupe Mountains NP ,2858,2020
155,Haleakala NP ,5457,2020
160,Hawaii Volcanoes NP ,7678,2020
168,Hot Springs NP ,4429,2020
171,Indiana Dunes NP ,9064,2020
172,Isle Royale NP ,4297,2020
182,Joshua Tree NP ,6086,2020
186,"Katmai NP&Pres, Aniakchak NM&Pres & Alagnak WR ",4208,2020
187,Kenai Fjords NP ,3962,2020
194,Lake Clark NP&Pres ,3400,2020
199,Lassen Volcanic NP ,5233,2020
205,Little River Canyon NPres ,1422,2020
211,Mammoth Cave NP ,6428,2020
219,Mesa Verde NP ,6347,2020
225,Mojave NPres ,5199,2020
230,Mount Rainier NP ,12398,2020
248,"North Cascades NP, Lake Chelan NRA, Ross Lake NRA ",7347,2020
251,Olympic NP ,12776,2020
262,Petrified Forest NP ,3500,2020
265,Pinnacles NP ,3629,2020
277,Redwood NP ,8845,2020
282,Rocky Mountain NP ,12436,2020
288,Saguaro NP ,3476,2020
303,Sequoia NP & Kings Canyon NP ,16621,2020
304,Shenandoah NP ,11931,2020
317,Tallgrass Prairie NPres ,916,2020
320,Theodore Roosevelt NP & International Peace Garden ,3082,2020
331,Valles Caldera NPres ,3260,2020
336,Virgin Islands NP ,4932,2020
337,Voyageurs NP ,4285,2020
342,"West. Arctic Parklands - Bering Land Bridge NPres, Noatak NPres, Cape Krusenstern NM, Kobuk Valley NP ",3756,2020
349,Wind Cave NP ,2511,2020
350,Wolf Trap NP ,4113,2020
353,Wrangell-Saint Elias NP&Pres ,5634,2020
354,Yellowstone NP ,34410,2020
355,Yosemite NP ,30032,2020
357,Yukon-Charley Rivers NPres ,1768,2020
358,Zion NP ,7515,2020
